"","Gdpe","Gne","GneDfd","GneCii","GneDfdFce","GneDfdGfc","GneCiiPnf","GneDfdFceGvt","GneDfdFceHfc","GneDfdGfcPub","GneDfdGfcPvt","GneDfdFceGvtNat","GneDfdGfcPubGvt","GneDfdGfcPubPcp","GneDfdGfcPvtTdw","GneDfdGfcPvtPbi","GneDfdFceHfcAbt","GneDfdFceHfcMis","GneDfdFceHfcTpt","GneDfdFceHfcHcr","GneDfdFceHfcHlt","GneDfdFceHfcFhe","GneDfdFceHfcHwe","GneDfdGfcPubGvtNat","GneDfdGfcPvtPbiIpr","GneDfdGfcPvtPbiNdc","GneDfdGfcPvtPbiNdm","GneDfdFceGvtNatNdf","GneDfdFceGvtNatDef","GneDfdFceGvtSnl","GneDfdGfcPubGvtNatNdf","GneDfdGfcPubGvtNatDef","GneDfdGfcPubGvtSnl","GneDfdGfcPubPcpCmw","GneDfdGfcPubPcpSnl","GneDfdGfcPvtTdwNnu","GneDfdGfcPvtTdwAna","GneDfdGfcPvtPbiIprRnd","GneDfdGfcPvtPbiIprMnp","GneDfdGfcPvtPbiIprCom","GneDfdGfcPvtPbiIprArt","GneDfdGfcPvtPbiNdcNbd","GneDfdGfcPvtPbiNdcNec","GneDfdGfcPvtPbiNdcSha","GneDfdGfcPvtPbiNdmNew","GneDfdGfcPvtPbiNdmSha","GneDfdGfcPvtPbiCbr","GneDfdGfcPvtOtc","GneDfdFceHfcAbtAlc","GneDfdFceHfcAbtCig","GneDfdFceHfcMisOgd","GneDfdFceHfcMisOsv","GneDfdFceHfcMisIfs","GneDfdFceHfcTptTsv","GneDfdFceHfcTptPvh","GneDfdFceHfcTptOvh","GneDfdFceHfcHcrAsv","GneDfdFceHfcHcrCsv","GneDfdFceHfcHltHsv","GneDfdFceHfcHltMed","GneDfdFceHfcFheFnt","GneDfdFceHfcFheTls","GneDfdFceHfcFheApp","GneDfdFceHfcHweRnt","GneDfdFceHfcHweWsc","GneDfdFceHfcHweEgf","GneDfdFceHfcFud","GneDfdFceHfcCnf","GneDfdFceHfcRnc","GneDfdFceHfcEdc","GneDfdFceHfcCom","GneCiiPnfMin","GneCiiPnfMan","GneCiiPnfWht","GneCiiPnfRet","GneCiiPnfOnf","GneCiiPba","GneCiiPfm","Sde","ExpMinImp"
"1",62712,63506,60356,3150,44566,15791,364,10816,33749,4474,11316,3980,2310,2164,3213,7447,1430,3794,4392,2558,1302,2872,6109,866,687,1960,4087,2886,1094,6836,393,473,1444,557,1608,1821,1392,169,329,166,24,1389,591,-20,4287,-200,714,656,681,749,805,1065,1924,819,1150,2424,412,2147,959,343,1764,390,718,5126,293,690,4330,2285,3627,578,473,54,-277,629,-51,9,2255,531,343,-1137
"2",56042,56688,57053,-366,42047,15007,347,10526,31521,3982,11025,4007,2008,1973,2860,7533,1328,3558,4528,2391,1225,2209,6145,784,634,1933,4263,2902,1105,6518,306,478,1225,465,1508,1643,1217,182,249,177,25,1412,538,-17,4354,-91,703,632,620,709,619,1011,1928,820,1291,2417,384,2007,943,283,1365,273,571,5255,294,596,4113,1739,3196,633,455,-213,73,257,237,-7,-727,14,131,-777
"3",60738,62920,64220,-1300,45756,18464,-90,12283,33472,5849,12615,4697,3082,2768,2978,8940,1326,3795,4836,2441,1303,2457,6412,1105,760,2148,5349,3497,1200,7586,503,602,1977,828,1940,1689,1289,195,350,190,26,1566,516,66,5536,-187,683,697,606,719,668,1071,2057,902,1315,2619,415,2027,1011,292,1551,276,630,5397,307,708,4242,2199,3331,643,486,-196,86,-113,127,6,-1034,-176,-1155,-1028
"4",62674,64855,64853,2,46881,17971,630,11540,35341,4819,13153,4513,2146,2673,3393,8978,1368,4195,5142,2596,1499,2541,6883,818,766,2650,4912,3159,1355,7027,326,492,1328,1149,1524,1943,1450,204,342,195,26,2012,587,51,5198,-286,650,782,631,737,756,1167,2272,972,1456,2714,459,2137,1172,327,1619,293,629,5588,322,973,4443,2082,3448,649,494,57,238,82,259,-6,-337,-291,431,-2611
"5",69588,72841,70262,2579,51416,18846,116,12684,38732,5479,13366,5033,2705,2774,3356,9261,1568,4528,5206,2877,1488,3336,6828,977,747,2802,5099,3683,1350,7651,432,545,1728,817,1957,1865,1491,217,296,207,27,2100,638,63,5335,-236,613,749,736,833,919,1197,2412,915,1518,2773,464,2413,1098,390,2127,410,798,5741,333,754,4914,2762,4078,632,516,76,16,195,-180,9,2089,374,-1568,-1685
"6",62253,63507,63537,-30,46960,16577,1027,11723,35237,4703,11874,4638,2226,2477,3081,8155,1464,4445,4782,2657,1348,2386,6928,791,780,2577,4201,3313,1325,7085,259,532,1435,967,1510,1655,1426,233,292,227,27,1854,593,130,4415,-214,597,638,670,794,725,1151,2570,874,1197,2710,422,2235,1034,315,1514,293,579,5929,334,665,4624,1899,3472,702,529,32,401,82,537,-26,-1057,0,636,-1890
"7",65771,69250,70917,-1666,50905,20012,-417,13505,37400,6453,13559,5478,3680,2773,3111,9640,1460,4774,4924,2673,1560,2729,7229,1461,795,2899,5347,4050,1427,8028,735,726,2219,808,1965,1682,1429,253,260,255,26,2160,676,63,5513,-167,598,808,652,808,778,1206,2790,966,1315,2643,438,2235,1216,344,1735,321,673,6112,347,770,4756,2294,3755,712,535,117,-117,-219,-198,0,-1032,-218,-1673,-1807
"8",67831,69942,70913,-971,52422,18491,-428,13104,39318,5137,13354,5190,2630,2507,3177,9317,1512,5216,5374,2771,1688,2774,7710,1088,791,3032,4906,3651,1539,7914,483,605,1541,843,1664,1697,1479,283,191,295,23,2297,747,-13,5242,-336,588,860,674,839,823,1293,3099,1032,1490,2852,473,2297,1321,367,1755,326,693,6304,358,1047,4869,2259,3854,746,547,59,-167,-513,154,39,-290,-253,69,-2180
"9",75460,78729,77449,1280,56362,21087,-370,13828,42533,6013,15074,5400,3112,2901,3236,10908,1705,5643,5244,3004,1733,3551,7642,1277,846,2994,6496,4086,1313,8429,575,702,1835,1015,1886,1645,1591,303,196,323,24,2226,723,45,6785,-289,572,930,774,931,986,1345,3311,991,1226,3028,457,2547,1296,437,2269,453,829,6427,366,849,5298,2955,4465,721,573,70,-303,-50,-93,6,1311,339,-2328,-941
"10",68646,69875,69992,-117,52019,17973,251,12632,39386,5015,12958,4994,2528,2487,2902,9166,1596,5532,5078,2862,1640,2609,7746,982,844,2801,4924,3485,1509,7639,420,562,1546,830,1657,1498,1404,318,154,347,25,2145,756,-99,5106,-183,597,890,711,886,823,1266,3443,923,1182,2973,446,2416,1277,363,1655,328,626,6631,365,750,4987,2077,3833,883,544,109,99,308,-259,-6,-571,203,-358,-871
